"setting","mu_inc","sd_inc","lCI_inc","uCI_inc","mu_id_per_inc","sd_id_per_inc","lCI_id_per_inc","uCI_id_per_inc","mu_s","sd_s","lCI_s","uCI_s","mu_ltbi","sd_ltbi","lCI_ltbi","uCI_ltbi","mu_platent","sd_platent","lCI_platent","uCI_platent","mu_pscreen","sd_pscreen","lCI_pscreen","uCI_pscreen","mu_cost","sd_cost","lCI_cost","uCI_cost","mu_cost_per_id","sd_cost_per_id","lCI_cost_per_id","uCI_cost_per_id","mu_cost_per_screen","sd_cost_per_screen","lCI_cost_per_screen","uCI_cost_per_screen","mu_cost_per_ltbi","sd_cost_per_ltbi","lCI_cost_per_ltbi","uCI_cost_per_ltbi"
"commercial",3.23,1.12909188503349,2.5,6,10.2246,2.60192757606954,8,15.26,9.03,2.09,7.32,12.36,0.47,0.34,0.14,1.07,0.05,0.0341417129865589,0.02,0.1,0.89,0.061249283648666,0.85,1,6382.85704427809,2373.98467125432,4486.5,13270.06,267.702474324014,113.2197715789,189.46,549.63,312.337914664735,129.017019240347,215.28,615.96,Inf,Inf,4103.28,Inf
"education",8.605,1.46903218329469,7.5,11.5,54.0034,17.0452858034476,40.55,91.68,44.37,14.53,33.04,74.69,1.18,0.59,0.75,2.86,0.03,0.0086052603127683,0.02,0.05,0.82,0.0338230690505755,0.8,0.89,34186.3804165412,8404.63771997651,28090.9,51586.54,62.163243822767,15.69412893578,50.72,95.83,77.4264280359241,20.5120393753376,61.55,127.99,4382.05569271523,1474.97741774348,3420.18,8373.89
"factory/workplace",5.51,1.2101840581273,4.5,8,17.572,4.07719575842579,14.68,27.07,14.67,3.6,11.93,22.85,1.03,0.39,0.7,1.8,0.07,0.0250050499950015,0.05,0.12,0.83,0.0452980031669067,0.8,0.91,12768.329221244,3138.2405852447,10341.72,19198.58,136.515678732901,30.8661160131952,117.53,204.66,161.496224139359,42.9272455895555,134.6,263.3,2838.59246021691,1590.37250321659,1530.78,5972.33
"hospital/clinic/care centre",3.065,0.872286557493487,2.5,4.76,13.295,3.26940438772952,10.5,20.17,9.54,2.65,7.78,14.38,0.31,0.29,0.12,0.93,0.03,0.0286391693350562,0.01,0.12,0.72,0.124413127372582,0.63,0.92,6136.64157844755,1826.05810463345,5057.67,9500.37,149.532010602776,40.3237432617424,125.1,240.16,254.867528234056,101.705715226395,193.7,480.42,Inf,Inf,3674.18,Inf
"other",2.98,1.08692876556568,2,5,26.3956,11.2131583346702,18.5,51.57,21.12,9.94,14.41,45.83,1.24,0.68,0.82,2.75,0.06,0.0242251643102495,0.05,0.1,0.79,0.123975355974036,0.73,0.96,7986.19580707233,3316.71718325481,5731.59,14995.63,82.4759103946683,35.6553546689407,57.32,161.5,146.781509907751,96.8043212739431,93.38,438.61,Inf,Inf,1591,Inf
