"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost"
"Bootstrap088","commercial",38,34,0.5,2.5,0.88,0.02,13,10.8,0.4,11.44,0.23,5216.17881575111
"Bootstrap088","education",1004.5,854.5,14,11.5,0.81,0.03,68.96,55.51,1,55.86,1.68,53479.9196086804
"Bootstrap088","factory/workplace",61.5,50,2,4.5,0.85,0.04,14.33,11.21,0.42,12.18,0.49,9647.45165649152
"Bootstrap088","hospital/clinic/care centre",26,21,1.5,2.5,0.57,0.06,15,7,0.58,8.55,0.51,4921.11399431111
"Bootstrap088","other",57,49,4,2,0.95,0.05,49,19.92,1,46.55,2.33,8301.03002962489
"Bootstrap089","commercial",14,11,1,2,0.79,0.08,13,11,0.33,10.27,0.82,4128.12321516089
"Bootstrap089","education",914.5,743.5,11,10,0.82,0.02,58.66,49.08,0.77,48.1,0.96,41831.8961692956
"Bootstrap089","factory/workplace",125,114,8,4.5,0.81,0.05,17.25,15.78,1.81,13.97,0.7,10154.000719424
"Bootstrap089","hospital/clinic/care centre",36.5,21,0.5,2,0.69,0.03,15,9.25,0.25,10.35,0.31,4090.71125304889
"Bootstrap089","other",110,90,2,4,0.87,0.07,26.5,16.21,0.93,23.05,1.61,11184.4429251698
"Bootstrap090","commercial",26,24,2,5,0.85,0.07,10.71,8.43,0.4,9.1,0.64,9932.05660317582
"Bootstrap090","education",216,143.5,4.5,7.5,0.78,0.03,22.59,18.33,0.49,17.62,0.53,18357.5836340949
"Bootstrap090","factory/workplace",81.5,73,8.5,3,0.86,0.11,16.67,16,2.93,14.34,1.58,6975.55862734165
"Bootstrap090","hospital/clinic/care centre",67.5,37.5,2.5,4.5,0.63,0.05,17,6.92,0.45,10.71,0.54,9381.821624768
"Bootstrap090","other",104,100,1,3,0.9,0.04,34.67,33.33,0.33,31.2,1.25,9812.57203994965
"Bootstrap091","commercial",28.5,26,0,3,0.85,0,8.17,7.33,0,6.94,0,5493.87904692565
"Bootstrap091","education",692.5,508,12,9.5,0.77,0.03,50.69,36.38,0.85,39.03,1.17,35304.307905476
"Bootstrap091","factory/workplace",158,149,21,8,0.94,0.14,15.75,14.92,2.42,14.8,2.07,18989.1336347876
"Bootstrap091","hospital/clinic/care centre",52,31,1,4,0.63,0.02,18.5,10.17,0.21,11.65,0.23,8474.52031294578
"Bootstrap091","other",74,27,6,2,0.43,0.22,11.71,8,2,5.04,1.11,3636.06052901433
"Bootstrap092","commercial",35,29.5,2.5,3,0.99,0.09,10.75,9.38,1,10.64,0.96,6245.45278088533
"Bootstrap092","education",589,460,8,10.5,0.83,0.02,57.03,43.8,0.85,47.33,0.95,43450.0808092407
"Bootstrap092","factory/workplace",94.5,86.5,8.5,5.5,0.88,0.07,18.82,16.63,1.17,16.56,1.16,13299.9099399248
"Bootstrap092","hospital/clinic/care centre",33,26,0.5,3,0.85,0.02,9.97,7.2,0.17,8.47,0.17,5772.54934805845
"Bootstrap092","other",170.5,100.5,6.5,4.5,0.8,0.06,19.85,11.12,1.35,15.88,0.95,10692.3090502784
"Bootstrap093","commercial",54,43.5,1,4.5,0.88,0.08,7.48,5.64,0.14,6.58,0.53,8291.51179104512
"Bootstrap093","education",495.5,353.5,6,9,0.74,0.01,41.49,30.99,0.54,30.7,0.31,28951.3384459571
"Bootstrap093","factory/workplace",103,91,12,6,0.78,0.08,15.33,14.17,2.25,11.96,0.96,12990.928507194
"Bootstrap093","hospital/clinic/care centre",41,23,0.5,1.5,0.83,0.01,14.5,12.5,0.25,12.04,0.12,3173.17762372267
"Bootstrap093","other",103,51,5,2.5,0.81,0.09,42.25,20.25,1.5,34.22,3.08,8899.41989479111
"Bootstrap094","commercial",14,11,1,2,0.92,0.08,8,8,0.25,7.36,0.59,3773.47963372089
"Bootstrap094","education",479.5,395,6.5,9,0.82,0.02,40.38,35.2,0.74,33.11,0.66,30171.9094167654
