"","year","setting","mean","median","L95CI","U95CI","combined"
"1",2013,"commercial",87.3837571762465,80.6975255896984,48.8930190528886,188.191265710943,"80.7 [48.89, 188.19]"
"2",2013,"education",94.6233764478122,93.6730854099964,71.4158865887826,115.553061028973,"93.67 [71.42, 115.55]"
"3",2013,"factory/workplace",178.563073076465,173.5579188455,124.786184591299,267.487113478148,"173.56 [124.79, 267.49]"
"4",2013,"hospital/clinic/care centre",212.059972490497,201.0457056284,115.639383684739,394.783984363331,"201.05 [115.64, 394.78]"
"5",2013,"other",156.777068660673,154.285065537755,103.456735664791,231.308380858805,"154.29 [103.46, 231.31]"
"6",2013,"total",101.650402952066,98.1606920890128,80.4107223217858,126.391454108446,"98.16 [80.41, 126.39]"
"7",2014,"commercial",219.686038620968,221.789534822434,109.654070474068,331.619299153744,"221.79 [109.65, 331.62]"
"8",2014,"education",81.8332195095504,79.7579490118972,55.9932153713615,123.506481172672,"79.76 [55.99, 123.51]"
"9",2014,"factory/workplace",152.836383132675,150.028352216626,100.886720476694,234.898508901198,"150.03 [100.89, 234.9]"
"10",2014,"hospital/clinic/care centre",528.47687775564,483.752058299409,318.134271579169,1120.96195113204,"483.75 [318.13, 1120.96]"
"11",2014,"other",175.736223381651,174.6392380909,127.988128025704,228.320550801724,"174.64 [127.99, 228.32]"
"12",2014,"total",103.483424537872,100.570114206032,81.3746452469652,140.721096951871,"100.57 [81.37, 140.72]"
"13",2015,"commercial",199.467938400737,190.753873289448,116.600844347616,347.073790588442,"190.75 [116.6, 347.07]"
"14",2015,"education",Inf,64.4913755351392,15.4431569966484,453.086563346982,"64.49 [15.44, 453.09]"
"15",2015,"factory/workplace",134.641885970824,110.091594208611,54.588988170396,285.605781367765,"110.09 [54.59, 285.61]"
"16",2015,"hospital/clinic/care centre",291.670004189438,279.415862789525,177.070960835849,451.683418705217,"279.42 [177.07, 451.68]"
"17",2015,"other",Inf,99.4382160266779,47.3990944902506,Inf,"99.44 [47.4, Inf]"
"18",2015,"total",96.4400265406789,71.2423313420052,27.7763695997315,305.79909460199,"71.24 [27.78, 305.8]"
"19",2016,"commercial",155.06248816014,152.827757170447,108.036962664121,232.427411871449,"152.83 [108.04, 232.43]"
"20",2016,"education",115.975153880231,112.628973555059,81.7822040151276,181.030532331645,"112.63 [81.78, 181.03]"
"21",2016,"factory/workplace",148.905305400478,139.052830434373,98.1706232635377,265.910028758823,"139.05 [98.17, 265.91]"
"22",2016,"hospital/clinic/care centre",106.293379046138,97.2228555584802,61.7493498366434,195.291022390917,"97.22 [61.75, 195.29]"
"23",2016,"other",69.4682486830991,67.5302229923465,37.6139427745375,109.409544688272,"67.53 [37.61, 109.41]"
"24",2016,"total",104.027792234834,102.101463234731,83.0595922369244,136.806793793988,"102.1 [83.06, 136.81]"
"25",2017,"commercial",522.365851945111,482.551475182913,324.625093161444,814.462582929126,"482.55 [324.63, 814.46]"
"26",2017,"education",77.1191694656565,74.4967086141087,60.4217583055468,97.3276294845384,"74.5 [60.42, 97.33]"
"27",2017,"factory/workplace",106.909930583752,84.4047495958735,32.8462984980812,331.961013104602,"84.4 [32.85, 331.96]"
"28",2017,"hospital/clinic/care centre",107.466434227188,99.4049079395106,64.5964761414915,184.069493406954,"99.4 [64.6, 184.07]"
"29",2017,"other",74.1412554061673,72.806017398813,45.679844877709,111.076575382945,"72.81 [45.68, 111.08]"
"30",2017,"total",84.9505482385899,84.234587714501,67.4082312278588,108.563389568483,"84.23 [67.41, 108.56]"
"31",2018,"commercial",109.427822675362,105.064956628651,78.6020694697346,193.587505429705,"105.06 [78.6, 193.59]"
"32",2018,"education",Inf,88.5130318718043,33.3739536301645,347.141339088789,"88.51 [33.37, 347.14]"
"33",2018,"factory/workplace",181.480829756034,174.002901338076,116.631945444746,297.646910924375,"174 [116.63, 297.65]"
"34",2018,"hospital/clinic/care centre",Inf,225.701098387327,122.833998875322,769.46068654661,"225.7 [122.83, 769.46]"
"35",2018,"other",Inf,299.918181467368,145.375049082209,7882.5570574892,"299.92 [145.38, 7882.56]"
"36",2018,"total",139.867215214578,125.973455479045,77.3265839811767,287.627426777725,"125.97 [77.33, 287.63]"
